
[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(134.00, 134.00)
    [move_apply] module_id=50 center=(162.572, 177.921) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=99 center=(235, 241.829) dx=-8.5 dy=21.5 rot90=1 weight=27
    [move_apply] module_id=82 center=(102.5, 217.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=84 center=(182.5, 211) dx=-3 dy=0 rot90=0 weight=27
    [move_apply] module_id=40 center=(139, 220.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=95 center=(53.5, 218.366) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=28 center=(182.5, 245) dx=-15.0856 dy=0 rot90=0 weight=27
    [move_apply] module_id=59 center=(50.0856, 249.5) dx=-1.42109e-14 dy=0 rot90=0 weight=27
    [move_apply] module_id=90 center=(143.5, 251.5) dx=-15.0856 dy=0 rot90=0 weight=27
    [move_apply] module_id=71 center=(107.086, 257) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=27
  Tier 0 [top->bottom] init_w=9.00 mul=3.00 side_bias=0.00(axis=2)
    [move_apply] module_id=90 center=(146.5, 248.5) dx=3 dy=-3 rot90=1 weight=27
    [move_apply] module_id=71 center=(98, 257) dx=-9.08563 dy=0 rot90=0 weight=27
    [move_apply] module_id=59 center=(41, 249.5) dx=-9.08563 dy=0 rot90=0 weight=27
    [move_apply] module_id=28 center=(182.5, 245) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=99 center=(235, 225.5) dx=0 dy=-16.3292 rot90=0 weight=27
    [move_apply] module_id=82 center=(102.5, 217.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=40 center=(139, 214.5) dx=0 dy=-6 rot90=0 weight=27
    [move_apply] module_id=95 center=(53.5, 218.366) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=84 center=(187, 188.5) dx=4.5 dy=-22.5 rot90=1 weight=27
    [move_apply] module_id=63 center=(238.5, 183) dx=0 dy=-16.3292 rot90=0 weight=27
    [move_apply] module_id=72 center=(45.966, 176.33) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=54 center=(207, 169.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=50 center=(142.5, 174.224) dx=-20.0724 dy=-3.69753 rot90=0 weight=27
    [move_apply] module_id=96 center=(96.466, 156) dx=-4.90684 dy=0 rot90=0 weight=27
    [move_apply] module_id=15 center=(242, 135.5) dx=0 dy=-16.3292 rot90=0 weight=27
    [move_apply] module_id=33 center=(178.862, 144) dx=-1.63847 dy=-3.26619 rot90=0 weight=27
    [move_apply] module_id=36 center=(141.862, 124.724) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=20 center=(57.966, 133.698) dx=-1.645 dy=0 rot90=0 weight=27
    [move_apply] module_id=49 center=(191.106, 100.5) dx=1.07863 dy=-3.26619 rot90=0 weight=27
    [move_apply] module_id=37 center=(258, 76) dx=0 dy=-19 rot90=0 weight=27
    [move_apply] module_id=5 center=(92.7953, 103.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=51 center=(43.6056, 92.877) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=44 center=(135.106, 60.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=85 center=(226.027, 73.5) dx=0 dy=2.5 rot90=1 weight=27
    [move_apply] module_id=67 center=(82.6056, 59) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=27 center=(251.027, 32.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=73 center=(205.027, 30.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=1 center=(120.027, 18.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=91 center=(59.527, 16.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=75 center=(162.027, 14) dx=0 dy=0 rot90=0 weight=27
  Tier 0 [left->right] init_w=27.00 mul=4.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=72 center=(45.966, 176.33) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=59 center=(41, 249.5) dx=-1.42109e-14 dy=0 rot90=0 weight=108
    [move_apply] module_id=51 center=(43.6056, 92.877) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=95 center=(53.5, 218.366) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=91 center=(59.527, 16.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=20 center=(57.966, 133.698) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=67 center=(82.6056, 59) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=71 center=(98, 257) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=5 center=(92.7953, 103.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=96 center=(96.466, 156) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=82 center=(102.5, 217.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=1 center=(120.027, 18.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=44 center=(135.106, 60.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=50 center=(160, 188.5) dx=17.5 dy=14.2762 rot90=1 weight=108
    [move_apply] module_id=36 center=(141.862, 121.5) dx=0 dy=-3.2238 rot90=0 weight=108
    [move_apply] module_id=40 center=(140.5, 235) dx=1.5 dy=20.5 rot90=1 weight=108
    [move_apply] module_id=90 center=(171.5, 248.5) dx=25 dy=0 rot90=0 weight=108
    [move_apply] module_id=75 center=(162.027, 14) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=33 center=(178.862, 144) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=28 center=(207.5, 245) dx=25 dy=0 rot90=0 weight=108
    [move_apply] module_id=49 center=(191.106, 100.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=73 center=(205.027, 30.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=84 center=(187, 188.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=54 center=(207, 169.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=99 center=(243.5, 217) dx=8.5 dy=-8.5 rot90=1 weight=108
    [move_apply] module_id=15 center=(242, 135.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=63 center=(238.5, 183) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=85 center=(226.027, 73.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=27 center=(251.027, 32.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=37 center=(238, 96) dx=-20 dy=20 rot90=1 weight=108
  Tier 0 [right->left] init_w=27.00 mul=4.00 side_bias=0.00(axis=1)
    [move_apply] module_id=99 center=(235, 225.5) dx=-8.5 dy=8.5 rot90=1 weight=108
    [move_apply] module_id=37 center=(238, 96) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=15 center=(242, 135.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=27 center=(251.027, 32.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=63 center=(238.5, 183) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=73 center=(205.027, 30.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=85 center=(226.027, 73.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=28 center=(182.5, 245) dx=-25 dy=0 rot90=0 weight=108
    [move_apply] module_id=54 center=(207, 169.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=49 center=(184.5, 100.5) dx=-6.6056 dy=0 rot90=0 weight=108
    [move_apply] module_id=84 center=(187, 188.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=33 center=(178.862, 144) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=90 center=(146.5, 248.5) dx=-25 dy=0 rot90=0 weight=108
    [move_apply] module_id=50 center=(160, 188.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=75 center=(162.027, 14) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=44 center=(128.5, 60.5) dx=-6.6056 dy=0 rot90=0 weight=108
    [move_apply] module_id=36 center=(141.5, 121.5) dx=-0.361531 dy=0 rot90=0 weight=108
    [move_apply] module_id=40 center=(131, 214.5) dx=-9.5 dy=-20.5 rot90=1 weight=108
    [move_apply] module_id=1 center=(120.027, 18.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=71 center=(98, 257) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=82 center=(94.5, 217.5) dx=-8 dy=0 rot90=0 weight=108
    [move_apply] module_id=5 center=(92.7953, 103.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=96 center=(96.466, 156) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=67 center=(76, 59) dx=-6.6056 dy=0 rot90=0 weight=108
    [move_apply] module_id=91 center=(59.527, 16.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=95 center=(45.5, 218.366) dx=-8 dy=0 rot90=0 weight=108
    [move_apply] module_id=72 center=(40.5, 176.33) dx=-5.46597 dy=0 rot90=0 weight=108
    [move_apply] module_id=20 center=(57.966, 133.698) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=59 center=(41, 249.5) dx=0 dy=0 rot90=0 weight=108
    [move_apply] module_id=51 center=(37, 92.877) dx=-6.6056 dy=0 rot90=0 weight=108
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=108
  Tier 0 [bottom->top] init_w=81.00 mul=4.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=1 center=(120.027, 18.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=27 center=(251.027, 32.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=73 center=(205.027, 30.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=75 center=(162.027, 14) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=91 center=(59.527, 16.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=44 center=(128.5, 60.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=67 center=(76, 59) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=85 center=(226.027, 73.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=51 center=(37, 92.877) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=49 center=(184.5, 100.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=5 center=(92.7953, 103.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=37 center=(238, 96) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=36 center=(141.5, 121.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=15 center=(242, 135.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=96 center=(96.466, 156) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=20 center=(57.966, 133.698) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=33 center=(178.862, 144) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=54 center=(207, 169.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=72 center=(40.5, 176.33) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=50 center=(160, 188.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=84 center=(187, 188.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=63 center=(238.5, 183) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=82 center=(94.5, 217.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=40 center=(131, 214.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=99 center=(235, 225.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=95 center=(45.5, 218.366) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=28 center=(182.5, 245) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=90 center=(146.5, 248.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=59 center=(41, 249.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=71 center=(98, 257) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=324
  Tier 0 [top->bottom] init_w=81.00 mul=4.00 side_bias=0.00(axis=2)
    [move_apply] module_id=90 center=(146.5, 248.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=71 center=(98, 257) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=59 center=(41, 249.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=28 center=(182.5, 245) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=99 center=(235, 225.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=82 center=(94.5, 217.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=40 center=(131, 214.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=95 center=(45.5, 218.366) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=84 center=(187, 188.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=50 center=(160, 188.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=72 center=(40.5, 176.33) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=63 center=(238.5, 183) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=54 center=(207, 169.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=96 center=(96.466, 156) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=15 center=(242, 135.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=36 center=(141.5, 121.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=33 center=(178.862, 144) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=20 center=(57.966, 133.698) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=49 center=(184.5, 100.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=5 center=(92.7953, 103.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=51 center=(37, 92.877) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=37 center=(238, 96) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=85 center=(226.027, 73.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=44 center=(128.5, 60.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=67 center=(76, 59) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=27 center=(251.027, 32.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=73 center=(205.027, 30.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=1 center=(120.027, 18.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=91 center=(59.527, 16.5) dx=0 dy=0 rot90=0 weight=324
    [move_apply] module_id=75 center=(162.027, 14) dx=0 dy=0 rot90=0 weight=324
  Tier 0 [iter=0] overlaps cleared after sweep
  Tier 1 bbox_center=(134.00, 134.00)
  Tier 1 [iter=0] running sweeps (h-first)
